tick,seq,run,routes,seq_step,SENSOR0,SENSOR1,SENSOR2,SENSOR3,SENSOR4,SENSOR5,SENSOR6,SENSOR7,SENSOR8,SENSOR9,SENSOR10,SENSOR11,SENSOR12,SENSOR13,SENSOR14,SENSOR15,WIRE0,WIRE1,WIRE2,WIRE3,WIRE4,WIRE5,WIRE6,WIRE7,WIRE8,WIRE9,WIRE10,WIRE11,WIRE12,WIRE13,WIRE14,WIRE15,ACT0,ACT1,ACT2,ACT3,ACT4,ACT5,ACT6,ACT7,ACT8,ACT9,ACT10,ACT11,ACT12,ACT13,ACT14,ACT15
526008,525982,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0033737695775926113,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526009,525983,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0033737695775926113,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526010,525984,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0033737695775926113,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526011,525985,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0015609979163855314,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526012,525986,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0015609979163855314,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526013,525987,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0015609979163855314,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526014,525988,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0015609979163855314,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526015,525989,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0015609979163855314,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526016,525990,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0015609979163855314,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526017,525991,1,0,128,0.0,0.5,0.15796291828155518,1.0,0.0,1.0,1.0,3.5,0.0015609979163855314,3.299999952316284,0.0,5.5,6.0,6.5,7.0,7.5,0.0,0.25,0.004000000189989805,1.0,1.0,0.007000000216066837,1.0,1.75,0.003000000026077032,3.299999952316284,2.5,0.006000000052154064,6.0,0.0,0.0020000000949949026,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
