t,n,rate,evt_rate,drop,ap_hz,pos_mm,d_tick
0.02,154,12.422966308774528,283.3381808034233,877,62.0,7.673828125,720
1.03,170,14.774971026388004,350.3042738088444,877,60.0,7.3203125,681
2.05,186,12.63344578313253,374.56998654386683,915,412.0,8.59765625,501
3.08,200,12.313625327708346,377.743635447674,1008,400.0,10.650390625,936
4.08,211,14.817144815258363,320.7298100727401,1071,384.0,12.2265625,692
5.08,225,14.68943586007873,278.5580705794778,1275,845.0,16.123046875,752
6.11,239,16.651133616257695,325.0008288259867,1401,805.0,20.44140625,535
7.13,253,14.374491068858212,333.3444845054671,1503,699.0,24.26953125,620
8.15,267,12.206192287432957,335.3430396555312,1543,199.0,24.798828125,734
9.17,278,14.016193980223695,318.06455241447514,1585,193.0,23.962890625,791
10.19,294,19.678356783943173,274.1933954405196,1707,295.0,22.728515625,955
11.2,307,16.635415716433123,342.53026276807293,1776,292.0,23.681640625,824
12.22,323,15.11586185521683,352.83124778158685,1872,281.0,25.236328125,478
13.22,337,15.57524332232921,367.8243555531196,1974,749.0,26.537109375,763
14.22,348,12.286248249761265,341.70495663030516,2068,735.0,28.884765625,691
15.25,363,22.624585326910733,260.5526181355871,2321,699.0,33.669921875,702
16.25,377,14.371535867986076,330.5591728550854,2424,292.0,37.033203125,689
17.28,392,20.652744882734986,345.2747770387786,2505,292.0,36.19921875,810
18.3,408,20.862617138536837,354.44240118120126,2598,278.0,34.642578125,584
19.33,421,12.080716610501455,377.7177678383814,2752,210.0,33.283203125,419
20.34,436,11.951456780977075,309.25809555071726,2806,207.0,34.14453125,931
21.36,450,14.554459018668888,343.60686417516797,2843,201.0,35.13671875,778
22.39,465,14.658838002572276,326.2074095849396,2909,673.0,36.2578125,611
23.4,480,13.97956877789295,379.55480689424064,3023,653.0,39.453125,750
24.41,493,22.663460655215083,356.71158548253356,3219,629.0,42.931640625,617
25.43,507,13.631856060113623,275.43555891804925,3317,362.0,45.83203125,912
26.44,521,10.487674000505093,339.329579158803,3402,354.0,44.048828125,605
27.46,535,15.491541950448388,323.9899139819357,3478,344.0,42.26953125,641
28.47,550,11.953296037800913,357.17896755736524,3536,151.0,40.5703125,735
29.47,561,3.0545504332063973,352.2635299387368,3673,151.0,41.33984375,3471
30.49,576,12.683453737779377,257.1589279132759,3710,143.0,42.0859375,713
31.51,591,13.608988939036538,353.23693774961356,3799,617.0,43.138671875,691
32.52,606,18.56272764690002,344.9873915452411,3922,590.0,46.365234375,681
33.54,621,11.732253246135686,358.6408665207858,4034,569.0,49.244140625,632
34.55,632,13.582942563278841,272.5109906265852,4223,407.0,51.283203125,948
35.55,646,11.412326814031193,339.8971945386822,4316,395.0,49.34375,625
36.55,661,19.57458009175211,355.085545559001,4400,380.0,47.30859375,846
37.57,676,10.822474229464206,354.94572740709856,4461,114.0,45.791015625,807
38.57,691,11.418696010824378,354.94572740709856,4481,109.0,46.3359375,495
39.6,703,15.621302127754666,366.4637023826778,4570,106.0,46.880859375,752
40.62,717,13.584922282645662,273.96305638702296,4636,580.0,47.884765625,605
41.62,732,12.845080084525158,334.93051994951156,4746,558.0,50.78125,862
42.62,746,10.627369701269416,358.51728609056977,4838,533.0,53.416015625,506
43.63,761,11.063583296624454,352.23887727679903,4931,445.0,55.298828125,900
44.65,773,12.69866028852995,344.3716364198656,5111,432.0,52.9140625,616
45.66,787,22.76939112307826,274.6928992009307,5205,409.0,50.81640625,626
46.66,802,12.281427517305191,347.4026388759791,5237,85.0,49.359375,899
47.66,817,12.915445987849152,333.6152296506439,5237,81.0,49.8359375,872
48.69,831,13.510749189864773,369.6825809176346,5237,78.0,50.2421875,563
49.71,842,11.823100449606066,334.0049283966784,5326,556.0,51.169921875,468
50.71,858,14.603614080289683,269.5434593134177,5424,531.0,54.15234375,745
51.72,872,11.644440002443101,365.7975283765654,5510,511.0,56.640625,862
52.72,886,10.841328470511604,341.5719259193909,5628,463.0,57.76171875,705
53.72,899,22.418044309040862,320.6399812159958,5743,449.0,55.51953125,586
54.73,911,19.9758250027385,283.14951563872137,5919,427.0,53.216796875,345
55.75,925,12.019061755847908,327.7264827833189,5961,63.0,51.830078125,813
56.77,940,20.672798067918578,350.48649386407584,5964,63.0,52.177734375,748
57.78,955,12.181306505809951,370.9073192704703,5964,61.0,52.501953125,788
