t,tick,n,rate,evt_rate,drop,ap_hz,pos_mm,vel_mm_s,wire10,wire12,d_tick
0.05,159585845,168332,11.708083966056275,251.94133044038574,1174931,509.0,63.166015625,-3.90625,1.0,516.359375,922
1.07,159596597,168347,14.745156493339849,333.57227249380446,1175082,486.0,60.50390625,-2.170138888888889,1.0,492.109375,783
2.09,159606544,168360,11.309699912904904,316.17981212546806,1175139,60.0,58.64453125,-0.47637195121951226,1.0,60.0,882
3.09,159616751,168374,19.146040745153353,329.0820111818464,1175139,60.0,58.951171875,-0.4438920454545455,1.0,60.0,518
4.1,159625027,168386,12.461943910461153,329.0820111818464,1175139,60.0,59.208984375,0.9765625,1.0,60.0,742
5.12,159636959,168399,14.52376648695068,280.40517862301857,1175269,484.0,60.1015625,1.953125,1.0,485.09375,688
6.14,159646805,168414,19.44490083541182,327.7344852485474,1175412,465.0,62.619140625,4.340277777777778,1.0,468.078125,513
7.16,159657222,168429,13.895739810032435,351.89057561204794,1175546,445.0,64.935546875,1.775568181818182,1.0,450.609375,718
8.18,159667122,168442,11.785791760097561,350.7576130307797,1175698,530.0,65.65625,-5.326704545454546,1.0,526.859375,942
9.18,159675855,168455,12.936000123367311,325.1174923835524,1175799,514.0,63.28515625,-1.775568181818182,1.0,523.640625,777
10.2,159687298,168468,11.694634353077635,281.0191827604778,1176007,487.0,60.376953125,-1.775568181818182,1.0,493.734375,855
11.22,159698145,168484,11.495684634338197,332.2485723756395,1176054,60.0,58.82421875,3.551136363636364,1.0,60.0,870
12.24,159708260,168499,13.895969996951987,363.48355952893303,1176054,60.0,59.130859375,-0.887784090909091,1.0,60.0,720
13.26,159718047,168512,17.521091458982564,338.90710694044395,1176054,60.0,59.41796875,0.48828125,1.0,60.0,630
14.28,159726071,168523,20.94105077112801,332.5939738845201,1176054,483.0,60.06640625,1.775568181818182,1.0,483.765625,477
15.3,159738863,168537,11.587403410770476,247.22283754638374,1176293,458.0,63.005859375,0.6300403225806451,1.0,464.40625,926
16.33,159748572,168550,10.698172209213944,326.80319056549126,1176438,444.0,65.212890625,3.90625,1.0,447.609375,931
17.35,159758691,168564,16.533316514774054,324.82846108900316,1176573,530.0,65.294921875,-1.953125,1.0,531.046875,605
18.35,159769345,168579,14.546584540258587,327.9123932697838,1176703,505.0,62.53515625,-1.953125,1.0,517.796875,687
19.38,159776944,168590,13.027528520889435,344.46928964860217,1176804,491.0,60.578125,-0.48828125,1.0,494.21875,769
20.4,159789674,168605,12.251508689937198,270.2783942777821,1176938,60.0,58.89453125,0.2675513698630137,1.0,60.0,816
21.42,159800053,168620,13.881804702393561,344.3356687370827,1176938,60.0,59.216796875,0.12600806451612903,1.0,60.0,719
22.42,159809607,168633,14.563201588850271,331.2236650154285,1176938,60.0,59.494140625,0.9765625,1.0,60.0,687
23.43,159819750,168647,20.68319624435371,333.5596401411601,1177008,475.0,61.013671875,3.90625,1.0,480.859375,545
24.45,159829868,168658,3.5520656635673737,332.2210025709486,1177239,461.0,63.3984375,2.663352272727273,1.0,461.5625,2815
25.47,159840604,168672,11.288757546151631,260.6517931670536,1177398,439.0,65.689453125,1.775568181818182,1.0,444.140625,947
26.49,159850319,168686,17.177169207835234,324.96380790398706,1177527,520.0,64.8984375,-6.214488636363638,1.0,529.46875,521
27.49,159860551,168700,11.642565286907088,322.88218750995196,1177663,504.0,62.205078125,-0.9765625,1.0,514.734375,860
28.52,159870966,168714,11.834676418139546,330.6067088040121,1177795,484.0,59.716796875,-1.775568181818182,1.0,498.984375,843
29.54,159881140,168725,11.803702390400126,337.5117132779989,1177849,60.0,58.9296875,0.23251488095238096,1.0,0.0,847
30.57,159891409,168740,19.178432457395783,263.22788318471396,1177853,60.0,59.251953125,0.887784090909091,1.0,0.0,520
31.57,159901591,168754,14.389038501782204,333.3537099063298,1177853,60.0,59.544921875,0.9765625,1.0,0.0,694
32.6,159911870,168769,15.000443471667882,354.8463863208013,1177995,473.0,61.515625,1.2600806451612903,1.0,476.25,659
33.62,159921680,168783,12.880621811939355,340.32796994555474,1178139,455.0,63.79296875,1.953125,1.0,457.4375,775
34.62,159931758,168795,14.949704342371177,345.00646737420493,1178345,441.0,66.076171875,0.48828125,1.0,449.65625,670
35.64,159942068,168809,12.272946464102624,279.70890590096724,1178495,522.0,64.5078125,-1.953125,1.0,525.21875,814
36.64,159952120,168823,16.260269511684527,317.1290869616876,1178640,500.0,61.8203125,-3.4466911764705883,1.0,503.546875,614
37.66,159962320,168838,13.928734151152673,345.9734196447536,1178746,0.0,59.408203125,-1.953125,1.0,486.71875,718
38.66,159972158,168852,15.150752425606312,355.6064505873002,1178746,60.0,59.0390625,1.775568181818182,1.0,60.0,727
